@relation 'MyVoldemort-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 200 -T 0'

@attribute cumulative_bug_count numeric
@attribute changed_LOC numeric
@attribute s183 numeric
@attribute s325 numeric
@attribute s326 numeric
@attribute s367 numeric
@attribute s646 numeric
@attribute s660 numeric
@attribute s705 numeric
@attribute s828 numeric
@attribute s1037 numeric
@attribute s1346 numeric
@attribute s1386 numeric
@attribute s2300 numeric
@attribute s2642 numeric
@attribute s2856 numeric
@attribute s4357 numeric
@attribute s4875 numeric
@attribute s5171 numeric
@attribute bug_introducing {0,1}

@data
22,5,3,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,0
4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
5,63,2,0,0,1,0,0,5,1,0,0,0,0,0,0,0,2,0,1
6,1070,0,0,0,0,0,0,50,44,0,0,0,0,0,0,0,36,0,1
10,52,1,0,0,1,0,0,9,1,0,0,0,0,0,0,0,3,4,0
22,3,3,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,0
6,25,1,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,1
7,13,1,0,0,1,0,0,21,1,0,0,0,0,0,0,0,0,0,0
7,14,2,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
10,28,3,0,0,0,0,0,42,1,8,0,0,0,0,0,0,0,0,0
5,7,1,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0
8,8,2,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1
1,2,12,0,0,0,0,0,10,1,0,0,0,0,0,0,2,0,0,0
0,2,11,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
5,12,12,0,0,1,0,0,7,1,0,0,0,0,0,0,0,2,0,0
6,311,1,0,0,0,0,0,44,36,0,0,0,0,0,0,0,36,0,0
10,8,11,0,0,1,0,0,8,1,0,0,0,0,0,0,0,3,4,0
5,5,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
10,4,3,0,0,0,0,0,42,1,7,0,0,0,0,0,0,0,0,0
2,173,2,0,0,0,0,0,42,1,0,0,0,0,0,0,6,0,0,1
0,53,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
5,62,2,0,0,1,0,0,13,1,0,0,0,0,0,0,0,2,0,0
2,9,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
3,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2,12,2,0,0,0,0,0,23,1,0,0,0,0,0,0,2,0,0,0
1,82,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1
15,60,4,0,0,0,0,0,53,2,0,0,0,0,0,0,7,0,0,1
5,78,12,0,0,11,0,0,4,1,0,0,0,0,0,0,0,6,0,0
5,35,2,0,0,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0
0,41,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
2,15,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
0,21,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,121,2,0,0,3,0,0,14,1,0,0,0,0,0,0,0,4,0,0
11,139,1,0,0,1,0,0,8,1,0,0,0,0,0,0,0,9,6,1
0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
2,199,3,0,0,0,0,0,28,2,0,0,0,0,0,0,4,0,0,1
10,13,3,0,0,0,0,0,42,1,7,0,0,0,0,0,0,0,0,0
